Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes,Tags
1,Project,VCB - Operational,active,,,,,,,0,,
1.1,Action,Signed Contract PH4,,VCB - Operational,Waiting,,,,,0,,Waiting
1.2,Action,"Review slack, confluence, jira licences and delete users",,VCB - Operational,Waiting,,,,,1,,Waiting
2,Project,Unsorted,active,,,,,,,0,,
2.1,Action,VN Leads,,Unsorted,Waiting,,,,,0,,Waiting
2.2,Action,Expand collaboration with BCG (talk with Colin),,Unsorted,Waiting,,,,,0,,Waiting
3,Project,Adaptivity - BBUK,active,,,,,,,0,,
3.1,Action,"Meeting with P Keng, Jack, Martin",,Adaptivity - BBUK,To Follow Up,,,,,0,,To Follow Up
3.2,Action,Meeting with P Tid + Above,,Adaptivity - BBUK,Waiting,,,,,0,,Waiting
4,Project,BBVN,active,,,,,,,0,,
4.1,Action,LVP Bank,,BBVN,Soon,2024-06-13 17:00:00 +0000,,,,0,,Soon
5,Project,InnovestX,active,,,,,,,0,,
5.1,Action,Setup EDNA Q&A,,InnovestX,To Follow Up,,,,,1,,To Follow Up
5.2,Action,Resource for K Thor,,InnovestX,To Follow Up,,,,,1,,"To Follow Up, Urgent"
5.2.1,Action,Discuss with P Top,,InnovestX,To Follow Up,,,,,0,,"To Follow Up, Urgent"
5.3,Action,Complete the Demo Setup,,InnovestX,To Follow Up,,,,,1,,To Follow Up
5.4,Action,Complete the Perf Test,,InnovestX,To Follow Up,,,,,1,,To Follow Up
6,Project,VTB,active,,,,,,,0,,
6.1,Action,Fast Start,,VTB,,,,,,0,,
6.1.1,Action,Onboarding Discussion with all resources,,VTB,,,,,,0,,
6.1.2,Action,Get Confirmation of start date w/verbal or written approval,,VTB,Urgent,,,,,1,,Urgent
6.1.3,Action,"Organise resource count + list (need PM help?) [top, p pong]",,VTB,Urgent,,,,,1,,Urgent
6.1.4,Action,Add our IP to the whitelist,,VTB,,,,,,0,,
6.1.5,Action,Figure out how to get paid,,VTB,Urgent,,,,,1,,Urgent
6.1.6,Action,Get Requirements,,VTB,,,,,,1,,
6.1.6.1,Action,Security requirements,,VTB,,,,,,0,,
6.1.6.2,Action,API Secifications,,VTB,,,,,,0,,
6.1.6.3,Action,Test Environment Information,,VTB,,,,,,0,,
6.2,Action,RFP - Submit new proposal with changes requested by Mr Lan,,VTB,Urgent,,,,,1,,Urgent
6.2.1,Action,Incorporate questions from Mr Lan,,VTB,,,,,,0,,
6.2.2,Action,Incorporate feedback from Ms Hasel,,VTB,,,,,,0,,
6.2.3,Action,"Include scope limitiations (such as deliverables, timings, responsibilities)",,VTB,,,,,,0,,
6.2.4,Action,Commitment from VTB that legacy systems will not impact our project,,VTB,,,,,,0,,
6.2.5,Action,"Update number of resources (to allow for budget reduction & protecting us, should be more than 50% VTB)",,VTB,,,,,,0,,
6.2.6,Action,"Let them know this scope is limited time only, must start within august",,VTB,,,,,,0,,
6.3,Action,Start work on the main contract,,VTB,,,,,,1,,
6.4,Action,Let Mr Lan meet K Sihanna Lamsam from K Mobile Banking if necessary,,VTB,,,,,,0,,
